,Full Notation,Category,Description,,Notes,
,8.F.4.1,Constructing linear functions,Construct a linear function to determine the slope and y ­intercept from a graph,,,
,8.F.4.2,Constructing linear functions,Construct a linear function to determine the slope and y ­intercept from a table,,,
,8.F.4.3,Constructing linear functions,Construct a linear function given the slope and y intercept (initial point).,,,
,8.F.4.4,Constructing linear functions,Construct a linear function given the slope and a point.,,,
,8.F.4.5,Constructing linear functions,Construct a linear function given two points.,,,
,8.F.4.6,Constructing linear functions,Construct a linear function based on a real­-world problem.,,,
,8.F.4.7,Constructing linear functions,Interpret the rate of change (slope) and the initial value (y ­intercept) given real­-world situations,,,
,,,,,,
,,,,,,
,8.EE.5.1,Slope,8.EE.5.1 Determine the slope of an equation ,,,
,8.EE.5.2,Slope,8.EE.5.2 Determine the slope of a graph,,,
,8.EE.5.3,Slope,8.EE.5.3 Compare the slopes of 2 graphs,,,
,8.EE.5.4,Slope,8.EE.5.4 Compare the slopes of 2 equations,,,
,8.EE.5.5,Slope,8.EE.5.5 Compare the slope of an equation to the slope of a graph ,,,
,8.EE.5.6,Slope,8.EE.5.6 Identify that slope is unit rate,,"Can you be more precise about what you want students to be able to do and what ""mastery"" means? Done.",
,8.EE.5.7,Slope,8.EE.5.7 Interpret the unit rate of a graph as the slope of a line.,,,
,8.EE.5.8,Slope,8.EE.5.8 Interpret the unit rate of a graph as the slope of a line in real-­world problems. ,,,
,8.EE.5.9,Slope,8.EE.5.9 Graph data illustrating slope as the unit rate with and without technology.,,,
,,,,,,
,,,,,,
,8.EE.6.1,Slopes and equations,Explain why triangles are similar,,This objective seems a bit out of place. Does it belong here?  Equivalent triangle allow for the explanation and modeling of a ratio based relationship that is constant in the rate of change.,
,8.EE.6.2,Slopes and equations,Determine the slope between two points,,,
,8.EE.6.3,Slopes and equations,Determine the slope between two points on a coordinate plane ,,,
,8.EE.6.4,Slopes and equations,"Determine the slope, looking at a graph",,Is this repetitive of objectives in the previous section? No.  One involves use of point slope equation, the other involves viewing a line on a coordinate plane and produce a slope.
,8.EE.6.5,Slopes and equations,Determine the y ­intercept by looking at a graph,,,
,8.EE.6.6,Slopes and equations,"Write the slope­-intercept form of an equation of a line, looking at a graph",,,
,8.EE.6.7,Slopes and equations,Construct a right triangle using two points on a non­vertical line to compare slopes ,,,
,8.EE.6.8,Slopes and equations,Identify m as the slope of a line and b as the point where the line intercepts the vertical axis (y­intercept),,,
,8.EE.6.9,Slopes and equations,Derive an equation y=mx for a line through the origin.,,,
,8.EE.6.10,Slopes and equations,Derive an equation using the slope m and the y ­intercept b in the form of y=mx + b,,,
,8.EE.6.11,Slopes and equations,Identify that the slope is the same between any two points on a line based on the proportional relationship of m =Δ,,"Is the last character of this objective accurate? Is it supposed to be ""&""?",
